Dex Number,Name,HP,Attack,Defense,Special Attack,Special Defense,Speed,Weight,Height,Primary Type,Secondary Type,Abilities,Formats
1,Bulbasaur,45,49,49,65,65,45,6.9,0.7,Grass,Poison,"Overgrow, Chlorophyll",National Dex
10,Caterpie,45,30,35,20,20,45,2.9,0.3,Bug,NA,"Shield Dust, Run Away",National Dex
100,Voltorb,40,30,50,55,55,100,10.4,0.5,Electric,NA,"Soundproof, Static, Aftermath",LC
102,Voltorb-Hisui,40,30,50,55,55,100,13,0.5,Electric,Grass,"Soundproof, Static, Aftermath",LC
1000,Gholdengo,87,60,95,133,91,84,30,1.2,Steel,Ghost,Good as Gold,OU
1001,Wo-Chien,85,85,100,95,135,70,74.2,1.5,Dark,Grass,Tablets of Ruin,RU
1002,Chien-Pao,80,120,80,90,65,135,152.2,1.9,Dark,Ice,Sword of Ruin,Uber
1003,Ting-Lu,155,110,125,55,80,45,699.7,2.7,Dark,Ground,Vessel of Ruin,OU
1004,Chi-Yu,55,80,80,135,120,100,4.9,0.4,Dark,Fire,Beads of Ruin,Uber
1005,Roaring Moon,105,139,71,55,101,119,380,2,Dragon,Dark,Protosynthesis,Uber
1006,Iron Valiant,74,130,90,120,60,116,35,1.4,Fairy,Fighting,Quark Drive,OU
1007,Koraidon,100,135,115,85,100,135,303,2.5,Fighting,Dragon,Orichalcum Pulse,Uber
1008,Miraidon,100,85,100,135,115,135,240,3.5,Electric,Dragon,Hadron Engine,Uber
1009,Walking Wake,99,83,91,125,83,109,280,3.5,Water,Dragon,Protosynthesis,OU
101,Electrode,60,50,70,80,80,150,66.6,1.2,Electric,NA,"Soundproof, Static, Aftermath",PU
101,Electrode-Hisui,60,50,70,80,80,150,71,1.2,Electric,Grass,"Soundproof, Static, Aftermath",NU
1010,Iron Leaves,90,130,88,70,108,104,125,1.5,Grass,Psychic,Quark Drive,RUBL
1011,Dipplin,80,80,110,95,80,40,4.4,0.4,Grass,Dragon,"Supersweet Syrup, Gluttony, Sticky Hold",RU
1012,Poltchageist,40,45,45,74,54,50,1.1,0.1,Grass,Ghost,"Hospitality, Heatproof",LC
1012,Poltchageist-Artisan,40,45,45,74,54,50,1.1,0.1,Grass,Ghost,"Hospitality, Heatproof",LC
1013,Sinistcha,71,60,106,121,80,70,2.2,0.2,Grass,Ghost,"Hospitality, Heatproof",UU
1013,Sinistcha-Masterpiece,71,60,106,121,80,70,2.2,0.2,Grass,Ghost,"Hospitality, Heatproof",UU
1014,Okidogi,88,128,115,58,86,80,92,1.8,Poison,Fighting,"Toxic Chain, Guard Dog",UU
